date,STR
2014-12-04,170.0
2014-12-05,165.0
2014-12-08,167.0
2014-12-09,167.0
2014-12-10,169.85
2014-12-11,162.5
2014-12-12,164.9
2014-12-15,164.9
2014-12-16,164.9
2014-12-17,162.95
2014-12-18,162.55
2014-12-19,161.0
2014-12-22,153.0
2014-12-23,150.0
2014-12-24,149.95
2014-12-25,146.8
2014-12-26,144.0
2014-12-29,142.0
2014-12-30,150.0
2014-12-31,155.0
2015-01-02,158.5
2015-01-06,159.0
2015-01-07,153.9
2015-01-08,153.0
2015-01-09,158.0
2015-01-12,167.0
2015-01-13,172.4
2015-01-14,174.5
2015-01-15,169.9
2015-01-16,160.0
2015-01-19,160.0
2015-01-20,158.0
2015-01-21,161.95
2015-01-22,154.9
2015-01-23,152.0
2015-01-26,151.05
2015-01-27,152.1
2015-01-28,155.0
2015-01-29,155.0
2015-01-30,152.5
2015-02-02,152.5
2015-02-03,151.0
2015-02-04,151.0
2015-02-05,149.75
2015-02-06,149.4
2015-02-09,142.7
2015-02-10,140.0
2015-02-11,140.1
2015-02-12,143.0
2015-02-13,134.45
2015-02-16,138.0
2015-02-17,135.0
2015-02-18,130.0
2015-02-19,129.95
2015-02-20,128.9
2015-02-23,136.6
2015-02-24,144.75
2015-02-25,138.2
2015-02-26,137.5
2015-02-27,137.1
2015-03-02,137.1
2015-03-03,137.1
2015-03-04,140.0
2015-03-05,137.5
2015-03-06,130.0
2015-03-09,136.0
2015-03-10,129.9
2015-03-11,122.15
2015-03-12,124.0
2015-03-13,126.5
2015-03-16,125.0
2015-03-17,125.0
2015-03-18,132.0
2015-03-19,124.0
2015-03-20,120.0
2015-03-23,119.9
2015-03-24,120.0
2015-03-25,120.0
2015-03-26,120.0
2015-03-27,118.0
2015-03-30,118.0
2015-03-31,117.0
2015-04-01,122.7
2015-04-02,115.35
2015-04-03,115.0
2015-04-06,116.95
2015-04-07,116.95
2015-04-08,110.6
2015-04-09,104.0
2015-04-10,105.45
2015-04-13,103.9
2015-04-14,97.69
2015-04-15,98.0
2015-04-16,98.0
2015-04-17,98.0
2015-04-20,102.05
2015-04-21,108.15
2015-04-22,117.0
2015-04-23,114.0
2015-04-24,109.9
2015-04-27,106.1
2015-04-28,110.0
2015-04-29,115.0
2015-04-30,115.0
2015-05-04,116.0
2015-05-05,115.0
2015-05-06,110.0
2015-05-07,108.65
2015-05-08,113.4
2015-05-11,108.0
2015-05-12,101.55
2015-05-13,100.0
2015-05-14,102.0
2015-05-15,105.5
2015-05-18,105.5
2015-05-19,109.8
2015-05-20,107.0
2015-05-21,106.0
2015-05-22,103.25
2015-05-25,100.2
2015-05-26,97.5
2015-05-27,95.0
2015-05-28,95.0
2015-05-29,95.0
2015-06-01,92.2
2015-06-02,92.0
2015-06-03,95.0
2015-06-04,98.9
2015-06-05,95.99
2015-06-08,90.24
2015-06-09,86.55
2015-06-10,90.0
2015-06-11,87.0
