date,NEJ
2002-02-11,217.424
2002-02-12,217.424
2002-02-13,217.424
2002-02-14,217.424
2002-02-15,217.424
2002-02-18,217.424
2002-02-19,212.879
2002-02-20,212.879
2002-02-21,214.394
2002-02-22,208.333
2002-02-26,208.333
2002-02-27,208.333
2002-02-28,209.205
2002-03-01,209.205
2002-03-04,209.205
2002-03-05,210.606
2002-03-06,218.939
2002-03-07,228.788
2002-03-08,228.788
2002-03-11,228.788
2002-03-12,228.788
2002-03-13,219.697
2002-03-14,219.697
2002-03-18,220.455
2002-03-19,220.455
2002-03-20,220.455
2002-03-21,220.455
2002-03-22,220.455
2002-03-25,226.515
2002-03-26,227.273
2002-03-27,231.061
2002-03-28,231.061
2002-03-29,217.197
2002-04-01,217.424
2002-04-02,217.424
2002-04-03,228.788
2002-04-05,228.788
2002-04-08,228.788
2002-04-09,238.636
2002-04-10,248.485
2002-04-11,248.485
2002-04-12,248.485
2002-04-15,248.485
2002-04-17,234.091
2002-04-19,242.424
2002-04-23,240.909
2002-04-30,240.909
2002-05-03,246.212
2002-05-07,246.212
2002-05-08,242.424
2002-05-09,242.424
2002-05-14,242.424
2002-05-15,240.909
2002-05-20,227.273
2002-05-22,223.485
2002-05-24,219.697
2002-05-27,219.697
2002-05-31,216.667
2002-06-04,216.667
2002-06-06,219.697
2002-06-11,206.818
2002-06-14,200.758
2002-06-17,204.545
2002-06-18,204.545
2002-06-19,204.545
2002-06-20,203.03
2002-06-21,201.515
2002-06-25,200.758
2002-06-28,204.545
2002-07-01,212.121
2002-07-02,204.545
2002-07-03,200.0
2002-07-04,199.242
2002-07-09,189.394
2002-07-12,187.273
2002-07-17,187.917
2002-07-18,189.394
2002-07-19,185.682
2002-07-22,185.682
2002-07-23,185.606
2002-07-24,185.606
2002-07-25,185.606
2002-07-26,186.364
2002-08-01,189.015
2002-08-09,193.182
2002-08-13,193.182
2002-08-16,200.0
2002-08-26,189.394
2002-08-28,200.0
2002-08-29,188.106
2002-09-02,181.061
2002-09-03,184.091
2002-09-04,186.364
2002-09-05,193.182
2002-09-10,185.606
2002-09-12,185.758
2002-09-13,193.182
2002-09-17,183.333
2002-09-18,189.394
2002-09-20,184.091
2002-09-25,184.091
2002-10-02,182.576
2002-10-04,174.242
2002-10-11,183.333
2002-10-15,185.606
2002-10-18,185.606
2002-10-22,189.394
2002-10-23,185.606
2002-10-24,185.606
2002-10-25,180.303
2002-10-30,176.515
2002-10-31,175.758
2002-11-01,171.97
2002-11-04,174.242
2002-11-07,174.242
2002-11-11,171.212
2002-11-12,166.667
2002-11-13,156.894
2002-11-14,159.091
2002-11-15,154.545
2002-11-20,154.621
2002-11-22,160.606
2002-11-25,159.091
2002-11-26,166.667
2002-12-02,159.091
2002-12-03,159.848
2002-12-12,159.848
2002-12-19,168.939
2002-12-20,174.242
2002-12-24,189.318
2002-12-25,187.121
2002-12-27,181.818
2002-12-30,178.788
2002-12-31,174.242
2003-01-02,164.015
2003-01-03,173.826
2003-01-21,170.455
2003-01-23,177.955
2003-02-06,171.97
2003-02-11,170.455
2003-02-14,170.455
2003-02-21,175.0
2003-03-04,171.212
2003-03-06,171.212
2003-03-07,174.242
2003-03-10,174.242
2003-03-11,172.689
2003-03-13,170.455
2003-03-14,166.667
2003-03-17,166.667
2003-03-19,166.667
2003-03-20,156.818
2003-04-01,173.485
2003-04-02,165.909
2003-04-03,175.758
2003-04-04,181.061
2003-04-07,181.061
2003-04-11,181.818
2003-04-16,180.303
2003-04-17,181.818
2003-04-22,189.318
2003-04-23,189.318
2003-04-24,181.818
2003-04-30,185.606
2003-05-05,181.818
2003-05-06,187.879
2003-05-08,187.879
2003-05-09,187.121
2003-05-12,189.318
2003-05-16,182.576
2003-05-20,178.03
2003-05-21,179.583
2003-05-23,179.583
2003-05-28,179.583
2003-05-30,179.015
2003-06-05,178.788
2003-06-06,178.939
2003-06-09,181.061
2003-06-13,189.394
2003-06-18,189.394
2003-06-20,189.394
2003-06-30,190.152
2003-07-01,193.22
2003-07-02,196.97
2003-07-04,181.818
2003-07-09,181.818
2003-07-14,181.78
2003-07-15,178.409
2003-07-16,181.818
2003-07-22,181.818
2003-07-23,181.818
2003-07-24,181.818
