"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2023","11,961.14","11,988.80","12,017.74","11,953.14","","-0.23%"
"11/09/2023","11,946.92","11,961.14","11,966.77","11,910.76","","-0.12%"
"11/10/2023","11,948.60","11,946.92","11,950.37","11,884.44","","0.01%"
"11/13/2023","11,971.71","11,948.60","11,973.39","11,911.23","","0.19%"
"11/14/2023","11,973.74","11,971.71","11,982.92","11,900.52","","0.02%"
"11/15/2023","11,895.50","11,973.74","11,973.74","11,874.55","","-0.65%"
"11/16/2023","11,969.91","11,895.50","11,969.91","11,875.21","","0.63%"
"11/17/2023","11,947.56","11,969.91","11,978.41","11,917.37","","-0.19%"
"11/20/2023","11,979.47","11,947.56","11,981.46","11,916.97","","0.27%"
"11/21/2023","11,976.24","11,979.47","12,000.67","11,944.18","","-0.03%"
"11/22/2023","11,999.71","11,976.24","12,025.97","11,974.80","","0.20%"
"11/23/2023","11,976.17","11,999.71","12,008.81","11,957.50","","-0.20%"
"11/24/2023","11,957.67","11,976.17","12,026.72","11,954.74","","-0.15%"
"11/27/2023","11,843.79","11,957.67","11,958.13","11,843.67","","-0.95%"
"11/28/2023","11,775.17","11,850.77","11,857.90","11,757.50","","-0.58%"
"11/29/2023","11,784.33","11,775.17","11,828.51","11,759.89","","0.08%"
"11/30/2023","11,781.56","11,784.33","11,825.18","11,754.07","","-0.02%"
"12/01/2023","11,748.19","11,781.56","11,818.46","11,731.93","","-0.28%"
"12/04/2023","11,728.06","11,748.19","11,769.43","11,702.27","","-0.17%"
"12/05/2023","11,759.51","11,728.06","11,785.10","11,709.49","","0.27%"
"12/06/2023","11,757.60","11,759.51","11,792.95","11,718.07","","-0.02%"
"12/07/2023","11,827.02","11,757.60","11,827.02","11,757.60","","0.59%"
"12/08/2023","11,885.32","11,827.02","11,885.32","11,824.97","","0.49%"
"12/11/2023","11,952.37","11,885.32","11,952.37","11,863.48","","0.56%"
"12/12/2023","11,995.29","11,951.89","12,018.46","11,936.38","","0.36%"
"12/13/2023","12,115.02","11,995.29","12,155.25","11,989.70","","1.00%"
"12/14/2023","12,134.19","12,115.02","12,149.06","12,074.14","","0.16%"
"12/15/2023","12,126.34","12,134.19","12,173.22","12,122.69","","-0.06%"
"12/18/2023","12,171.59","12,126.34","12,176.88","12,119.78","","0.37%"
"12/19/2023","12,211.46","12,171.59","12,215.90","12,135.58","","0.33%"
"12/20/2023","12,246.01","12,211.46","12,273.00","12,204.50","","0.28%"
"12/21/2023","12,182.82","12,246.01","12,265.63","12,182.82","","-0.52%"
"12/22/2023","12,182.10","12,182.82","12,245.08","12,181.58","","-0.01%"
"12/25/2023","12,147.19","12,182.10","12,220.48","12,147.19","","-0.29%"
"12/26/2023","12,085.31","12,147.19","12,181.26","12,085.31","","-0.51%"
