date,AKT
2025-03-28,1270.0
2025-04-02,1270.0
2025-04-03,1211.0
2025-04-04,1250.0
2025-04-07,1200.0
2025-04-08,1229.0
2025-04-09,1204.0
2025-04-10,1289.0
2025-04-11,1280.0
2025-04-14,1281.0
2025-04-15,1327.0
2025-04-16,1368.0
2025-04-17,1407.0
2025-04-18,1396.0
2025-04-21,1395.0
2025-04-22,1379.0
2025-04-23,1403.0
2025-04-24,1410.0
2025-04-25,1410.0
2025-04-28,1430.0
2025-04-29,1442.0
2025-04-30,1449.0
2025-05-02,1460.0
2025-05-05,1465.0
2025-05-06,1480.0
2025-05-07,1500.0
2025-05-08,1480.0
2025-05-09,1495.0
