date,MNG
2002-09-18,353.655
2002-09-19,337.273
2002-09-20,317.037
2002-09-23,298.053
2002-09-24,293.91
2002-09-25,298.728
2002-09-26,301.667
2002-09-27,308.364
2002-09-30,318.001
2002-10-01,318.001
2002-10-02,306.244
2002-10-03,313.183
2002-10-04,306.919
2002-10-07,313.183
2002-10-09,307.401
2002-10-10,308.653
2002-10-11,313.183
2002-10-14,313.183
2002-10-15,310.292
2002-10-16,302.582
2002-10-17,294.873
2002-10-18,297.764
2002-10-21,289.092
2002-10-22,289.092
2002-10-23,285.237
2002-10-24,283.31
2002-10-25,281.382
2002-10-28,276.661
2002-10-29,274.83
2002-10-30,272.035
2002-10-31,277.528
2002-11-01,277.528
2002-11-04,277.528
2002-11-05,270.782
2002-11-07,277.528
2002-11-08,281.382
2002-11-11,289.092
2002-11-12,293.813
2002-11-13,293.91
2002-11-14,293.91
2002-11-15,289.092
2002-11-19,289.092
2002-11-20,289.092
2002-11-21,289.092
2002-11-22,299.692
2002-11-25,290.055
2002-11-26,290.537
2002-11-27,284.273
2002-11-28,281.382
2002-12-02,276.564
2002-12-03,287.164
2002-12-05,287.164
2002-12-10,289.092
2002-12-11,289.092
2002-12-12,289.092
2002-12-13,291.982
2002-12-16,300.655
2002-12-17,308.364
2002-12-18,314.146
2002-12-19,317.23
2002-12-20,317.904
2002-12-24,318.001
2002-12-25,308.364
2002-12-26,291.019
2002-12-27,289.092
2002-12-30,289.092
2002-12-31,277.528
2003-01-02,285.237
2003-01-03,282.346
2003-01-06,282.346
2003-01-07,287.164
2003-01-08,279.455
2003-01-09,279.455
2003-01-10,274.637
2003-01-13,271.746
2003-01-14,287.068
2003-01-15,280.419
2003-01-16,277.528
2003-01-17,272.71
2003-01-20,279.455
2003-01-21,274.926
2003-01-22,272.999
2003-01-23,270.782
2003-01-24,277.528
2003-01-27,272.71
2003-01-28,279.455
2003-01-29,279.359
2003-01-30,275.601
2003-01-31,281.286
2003-02-03,276.564
2003-02-04,280.419
2003-02-05,289.092
2003-02-06,298.728
2003-02-07,293.91
2003-02-10,303.546
2003-02-11,301.619
2003-02-14,299.21
2003-02-18,308.364
2003-02-19,309.81
2003-02-20,313.183
2003-02-21,318.001
2003-02-24,312.219
2003-02-25,308.364
2003-02-26,313.183
2003-02-27,313.183
2003-02-28,312.219
2003-03-03,304.992
2003-03-04,305.473
2003-03-06,306.437
2003-03-07,305.473
2003-03-10,305.473
2003-03-11,294.873
2003-03-12,282.539
2003-03-13,280.515
2003-03-14,264.037
2003-03-17,264.037
2003-03-18,253.533
2003-03-19,258.255
2003-03-20,258.255
2003-03-21,259.219
2003-03-24,265.001
2003-03-25,274.637
2003-03-26,274.733
2003-03-27,275.601
2003-03-28,279.359
2003-03-31,289.092
2003-04-01,291.982
2003-04-02,290.152
2003-04-03,292.946
2003-04-04,297.764
2003-04-07,297.764
2003-04-08,297.764
2003-04-09,298.728
2003-04-10,299.21
2003-04-11,308.364
2003-04-14,310.292
2003-04-15,311.255
2003-04-16,315.206
2003-04-17,323.783
2003-04-18,327.637
2003-04-21,325.662
2003-04-22,326.673
2003-04-23,318.001
2003-04-24,307.593
2003-04-25,313.183
2003-04-28,318.001
2003-04-29,314.628
2003-04-30,314.146
2003-05-02,315.11
2003-05-05,314.243
2003-05-06,318.193
2003-05-07,326.577
2003-05-08,318.001
2003-05-09,318.049
2003-05-12,325.613
2003-05-13,324.746
2003-05-16,322.819
2003-05-19,322.819
2003-05-20,322.819
2003-05-21,322.723
2003-05-22,318.001
2003-05-23,318.001
2003-05-26,314.243
2003-05-27,316.073
2003-05-28,315.206
2003-05-29,315.11
2003-05-30,317.037
2003-06-02,319.928
2003-06-03,337.177
2003-06-04,342.092
2003-06-05,354.619
2003-06-06,362.328
2003-06-09,361.364
2003-06-10,356.546
2003-06-11,346.91
2003-06-12,327.733
2003-06-13,318.001
2003-06-16,318.001
2003-06-17,318.001
2003-06-18,337.273
2003-06-19,341.128
2003-06-20,346.91
2003-06-23,346.91
2003-06-24,351.728
2003-06-25,348.837
2003-06-26,348.837
2003-06-27,345.946
2003-06-30,356.45
2003-07-01,337.273
2003-07-02,327.637
2003-07-03,327.637
2003-07-04,331.492
2003-07-07,327.637
2003-07-08,327.637
2003-07-09,327.637
2003-07-10,337.273
2003-07-11,342.092
2003-07-14,342.092
2003-07-15,342.092
2003-07-16,335.828
2003-07-17,328.601
2003-07-18,335.346
2003-07-21,330.046
2003-07-22,329.564
2003-07-24,329.564
2003-07-25,329.564
2003-07-28,330.528
2003-07-29,330.528
2003-07-31,328.697
2003-08-01,328.601
2003-08-04,328.601
2003-08-05,327.637
2003-08-07,328.601
2003-08-08,328.601
2003-08-11,327.637
2003-08-12,325.903
2003-08-13,325.903
2003-08-18,328.601
2003-08-19,330.528
2003-08-22,332.455
2003-08-25,331.492
2003-08-26,346.91
2003-08-28,356.546
2003-08-29,361.364
2003-09-01,373.892
2003-09-02,375.626
2003-09-03,380.541
2003-09-04,379.481
2003-09-05,373.892
2003-09-08,351.728
2003-09-09,351.728
2003-09-10,344.019
2003-09-11,343.248
2003-09-12,351.728
2003-09-15,348.837
2003-09-16,333.419
2003-09-18,339.201
2003-09-19,326.673
2003-09-22,318.001
2003-09-23,298.921
2003-09-24,298.728
2003-09-25,313.183
2003-09-26,319.928
2003-09-29,310.292
2003-09-30,308.364
2003-10-01,313.183
2003-10-02,331.973
2003-10-03,344.886
2003-10-06,351.728
2003-10-07,337.273
2003-10-08,332.455
2003-10-09,323.783
2003-10-10,336.31
2003-10-13,327.637
2003-10-14,331.492
2003-10-15,332.455
2003-10-16,319.928
2003-10-17,319.928
2003-10-20,320.506
2003-10-21,323.012
2003-10-22,323.975
2003-10-23,332.455
2003-10-24,332.455
2003-10-27,332.455
2003-10-28,332.648
2003-10-29,330.817
2003-10-30,330.913
2003-10-31,332.455
2003-11-03,328.601
2003-11-04,328.601
2003-11-05,337.273
2003-11-07,351.728
2003-11-10,347.873
2003-11-11,346.91
2003-11-12,344.019
2003-11-13,342.092
2003-11-14,344.019
2003-11-17,339.201
2003-11-19,339.683
2003-11-20,337.273
2003-11-21,336.31
2003-11-24,337.273
2003-11-25,333.515
2003-11-28,333.612
2003-12-01,333.419
2003-12-02,332.455
2003-12-03,329.853
2003-12-04,337.177
2003-12-05,332.455
2003-12-08,334.383
2003-12-09,333.419
2003-12-10,339.201
2003-12-11,333.419
2003-12-12,332.455
2003-12-15,330.528
2003-12-16,330.528
2003-12-17,330.528
2003-12-18,332.455
2003-12-19,333.419
2003-12-22,327.637
2003-12-23,323.879
2003-12-24,329.564
2003-12-25,331.492
2003-12-26,328.601
2003-12-29,327.637
2003-12-30,327.637
2003-12-31,327.637
2004-01-02,325.71
2004-01-06,327.637
2004-01-07,327.637
2004-01-08,332.455
2004-01-09,337.273
2004-01-12,337.273
2004-01-13,346.91
2004-01-14,351.632
2004-01-15,362.328
2004-01-16,360.401
2004-01-19,356.546
2004-01-20,356.546
2004-01-22,366.183
2004-01-23,361.364
2004-01-26,371.001
2004-01-27,363.292
2004-01-28,369.074
2004-01-29,370.037
2004-01-30,375.819
2004-02-03,397.019
2004-02-04,402.801
2004-02-05,408.486
2004-02-06,404.728
2004-02-09,409.546
2004-02-10,411.474
2004-02-11,411.474
2004-02-12,424.001
2004-02-13,433.637
2004-02-16,433.637
2004-02-17,417.255
2004-02-18,409.643
2004-02-19,410.606
2004-02-20,411.474
2004-02-23,424.001
2004-02-24,433.637
2004-02-25,444.237
2004-02-26,448.092
2004-02-27,437.492
2004-03-01,433.637
2004-03-02,428.819
2004-03-03,424.001
2004-03-04,426.025
2004-03-05,443.274
2004-03-08,452.91
2004-03-09,452.91
2004-03-10,477.001
2004-03-11,475.989
2004-03-12,473.243
2004-03-15,452.91
2004-03-16,443.274
2004-03-17,435.565
2004-03-18,440.479
2004-03-22,425.735
2004-03-23,400.199
2004-03-24,376.204
2004-03-25,367.146
2004-03-26,363.388
2004-03-29,351.728
2004-03-30,334.383
2004-03-31,334.479
2004-04-01,353.655
2004-04-02,344.019
2004-04-05,353.655
2004-04-06,351.728
2004-04-08,356.546
2004-04-09,366.183
2004-04-12,375.819
2004-04-13,394.128
2004-04-14,395.092
2004-04-15,404.728
2004-04-16,414.365
2004-04-19,414.365
2004-04-20,405.499
2004-04-21,397.019
2004-04-22,395.092
2004-04-23,395.092
2004-04-26,404.728
2004-04-27,400.874
2004-04-28,396.055
2004-04-29,403.765
2004-04-30,404.728
2004-05-04,409.546
2004-05-05,401.837
2004-05-06,406.655
2004-05-07,404.535
2004-05-10,397.019
2004-05-11,395.092
2004-05-12,395.092
2004-05-13,397.019
2004-05-14,391.719
2004-05-17,375.819
2004-05-18,371.001
2004-05-19,380.637
2004-05-20,381.794
2004-05-21,381.601
2004-05-24,380.637
2004-05-25,380.637
2004-05-26,380.637
2004-05-27,375.819
2004-05-28,371.964
2004-05-31,375.819
2004-06-01,375.819
2004-06-02,384.492
2004-06-03,380.637
2004-06-04,390.274
2004-06-07,385.455
2004-06-10,326.673
2004-06-11,308.364
2004-06-14,290.055
2004-06-15,289.092
2004-06-16,291.115
2004-06-17,291.019
2004-06-18,294.873
2004-06-21,293.91
2004-06-22,281.864
2004-06-23,289.092
2004-06-24,286.201
2004-06-25,285.333
2004-06-28,279.455
2004-06-29,278.492
2004-06-30,274.637
2004-07-01,279.455
2004-07-02,275.601
2004-07-05,269.819
2004-07-06,269.819
2004-07-07,269.819
2004-07-08,270.782
2004-07-09,279.455
2004-07-12,279.455
2004-07-13,279.841
2004-07-14,279.455
2004-07-15,278.492
2004-07-16,279.455
2004-07-19,279.455
2004-07-20,279.455
2004-07-21,279.455
2004-07-22,279.455
2004-07-23,271.842
2004-07-26,267.891
2004-07-27,267.891
2004-07-28,265.964
2004-07-30,264.037
2004-08-03,258.255
2004-08-04,265.001
2004-08-05,274.637
2004-08-06,275.601
2004-08-09,270.782
2004-08-10,278.492
2004-08-11,279.455
2004-08-12,283.31
2004-08-13,279.552
2004-08-16,281.382
2004-08-17,283.31
2004-08-18,281.382
2004-08-19,275.119
2004-08-23,274.637
2004-08-24,274.637
2004-08-25,274.637
2004-08-26,278.492
2004-08-27,275.601
2004-08-30,275.601
2004-08-31,277.624
2004-09-01,279.552
2004-09-02,279.552
2004-09-03,279.552
2004-09-06,279.6
2004-09-07,291.982
