date,BCI
2004-07-19,558.61
2004-07-23,558.61
2004-07-27,536.234
2004-07-30,539.43
2004-08-02,557.012
2004-08-03,547.422
2004-08-04,539.43
2004-08-06,541.028
2004-08-10,547.422
2004-08-11,543.426
2004-08-12,543.426
2004-08-16,543.426
2004-08-19,559.409
2004-08-25,555.413
2004-08-27,559.409
2004-08-31,559.409
2004-09-02,560.208
2004-09-08,570.597
2004-09-10,570.597
2004-09-13,571.396
2004-09-14,570.597
2004-09-17,570.597
2004-09-21,571.396
2004-09-22,571.396
2004-09-24,560.208
2004-09-27,561.007
2004-09-28,561.007
2004-10-04,559.409
2004-10-08,559.409
2004-10-12,559.409
2004-10-15,527.443
2004-10-19,539.43
2004-10-20,539.43
2004-10-21,539.43
2004-10-22,523.447
2004-10-26,519.451
2004-10-28,519.451
2004-10-29,519.451
2004-11-01,527.443
2004-11-03,532.238
2004-11-04,533.037
2004-11-10,519.451
2004-11-12,515.456
2004-11-16,515.456
2004-11-19,541.828
2004-11-23,509.861
2004-11-29,511.46
2004-11-30,515.456
2004-12-01,512.259
2004-12-03,519.451
2004-12-07,516.255
2004-12-08,527.443
2004-12-10,543.426
2004-12-14,547.422
2004-12-16,527.443
2004-12-17,537.033
2004-12-21,537.033
2004-12-22,547.422
2004-12-23,547.422
2004-12-24,559.409
2004-12-27,575.392
2004-12-28,579.388
2004-12-29,579.388
2004-12-30,575.392
2004-12-31,575.392
2005-01-04,575.392
2005-01-05,575.392
2005-01-06,575.392
2005-01-07,547.422
2005-01-10,579.388
2005-01-13,575.392
2005-01-14,576.191
2005-01-18,576.191
2005-01-20,576.191
2005-01-25,579.388
2005-01-27,578.589
2005-02-01,578.589
2005-02-02,578.589
2005-02-04,578.589
2005-02-07,567.401
2005-02-08,559.409
2005-02-14,559.409
2005-02-15,559.409
2005-02-16,559.409
2005-02-17,559.409
2005-02-18,547.422
2005-02-22,559.409
2005-02-24,541.028
2005-02-25,533.037
2005-02-28,541.028
2005-03-01,537.033
2005-03-03,555.413
2005-03-07,556.212
2005-03-11,556.212
2005-03-16,587.38
2005-03-17,583.384
2005-03-18,586.58
2005-03-21,575.392
2005-03-22,563.405
2005-03-23,559.409
2005-03-24,560.208
2005-03-25,565.802
2005-03-28,561.007
2005-03-29,563.405
2005-03-30,563.405
2005-03-31,567.401
2005-04-01,567.401
2005-04-04,571.396
2005-04-05,579.388
2005-04-06,579.388
2005-04-07,571.396
2005-04-12,578.589
2005-04-13,575.392
2005-04-15,583.384
2005-04-18,583.384
2005-04-20,587.38
2005-04-25,587.38
2005-04-26,587.38
2005-04-29,595.371
2005-05-02,591.375
2005-05-03,599.367
2005-05-06,593.773
2005-05-09,599.367
2005-05-16,592.174
2005-05-17,594.572
2005-05-18,594.572
2005-05-19,594.572
2005-05-20,594.572
2005-05-23,595.371
2005-05-24,595.371
2005-05-25,598.568
2005-05-27,598.568
2005-05-30,598.568
2005-05-31,607.358
2005-06-01,575.392
2005-06-02,583.384
2005-06-08,583.384
2005-06-09,575.392
2005-06-10,590.576
2005-06-13,583.384
2005-06-14,581.785
2005-06-15,569.798
2005-06-17,579.388
2005-06-20,575.392
2005-06-21,575.392
2005-06-22,583.384
2005-06-23,587.38
2005-06-24,587.38
2005-06-27,580.187
2005-06-28,583.384
2005-06-29,579.388
2005-07-01,579.388
2005-07-05,580.986
2005-07-07,580.187
2005-07-08,580.187
