date,SNP
2010-05-11,388.45
2010-05-12,389.0
2010-05-13,385.1
2010-05-14,399.0
2010-05-17,400.0
2010-05-18,416.7
2010-05-19,422.95
2010-05-20,418.9
2010-05-21,415.7
2010-05-24,403.8
2010-05-25,395.55
2010-05-26,394.2
2010-05-27,387.8
2010-05-28,399.9
2010-05-31,401.1
2010-06-01,397.25
2010-06-02,400.0
2010-06-03,400.05
2010-06-04,408.0
2010-06-07,412.55
2010-06-08,413.0
2010-06-09,410.0
2010-06-10,410.0
2010-06-11,411.8
2010-06-14,401.05
2010-06-15,405.0
2010-06-16,405.0
2010-06-17,405.0
2010-06-18,401.3
2010-06-21,402.0
2010-06-22,398.2
2010-06-23,400.9
2010-06-24,400.0
2010-06-25,397.0
2010-06-28,398.0
2010-06-29,396.0
2010-06-30,395.0
2010-07-01,397.9
2010-07-02,399.95
2010-07-05,398.0
2010-07-06,403.0
2010-07-07,394.7
2010-07-08,377.5
2010-07-09,388.0
2010-07-12,393.0
2010-07-13,391.0
2010-07-14,392.3
2010-07-15,385.0
2010-07-16,391.85
2010-07-19,388.1
2010-07-20,390.5
2010-07-21,384.0
2010-07-22,387.95
2010-07-23,388.0
2010-07-26,383.1
2010-07-27,385.0
2010-07-28,384.15
2010-07-29,383.15
2010-08-02,380.0
2010-08-03,380.1
2010-08-04,380.3
2010-08-05,380.3
2010-08-06,387.65
2010-08-09,406.0
2010-08-10,407.0
2010-08-11,410.0
2010-08-12,405.0
2010-08-13,401.0
2010-08-16,398.0
2010-08-17,391.3
2010-08-18,388.1
2010-08-19,391.0
2010-08-23,396.9
2010-08-24,396.95
2010-08-25,397.0
2010-08-26,395.7
2010-08-27,402.0
2010-08-30,402.5
2010-08-31,398.0
2010-09-01,400.0
2010-09-02,394.0
2010-09-03,394.0
2010-09-06,396.0
2010-09-07,399.9
2010-09-08,399.0
2010-09-09,396.0
2010-09-13,396.05
2010-09-14,407.0
2010-09-15,400.35
2010-09-16,406.95
2010-09-17,406.5
2010-09-20,406.0
2010-09-21,405.05
2010-09-22,406.0
2010-09-23,405.9
2010-09-24,402.65
2010-09-27,404.0
2010-09-28,405.0
2010-09-29,408.0
2010-09-30,415.0
2010-10-01,409.0
2010-10-04,409.0
2010-10-05,409.0
2010-10-06,407.9
2010-10-07,408.95
2010-10-08,408.0
2010-10-11,404.3
2010-10-12,400.45
2010-10-13,405.0
2010-10-14,401.0
2010-10-15,415.0
2010-10-18,409.2
2010-10-19,413.0
2010-10-20,425.0
2010-10-21,428.0
2010-10-22,420.1
2010-10-25,420.0
2010-10-26,421.0
2010-10-27,413.0
2010-10-28,412.0
2010-10-29,410.0
2010-11-01,410.0
2010-11-02,408.8
2010-11-03,405.0
2010-11-04,411.0
2010-11-05,410.0
2010-11-08,412.4
2010-11-09,403.0
2010-11-10,400.0
2010-11-11,404.9
2010-11-12,404.9
2010-11-15,408.0
2010-11-16,404.0
2010-11-19,409.4
2010-11-22,405.0
2010-11-23,400.0
2010-11-24,400.0
2010-11-25,399.0
2010-11-26,398.8
2010-11-29,395.0
2010-11-30,399.85
2010-12-01,401.05
2010-12-02,398.55
2010-12-03,400.0
2010-12-06,400.0
2010-12-08,404.8
2010-12-09,400.0
2010-12-10,400.0
2010-12-13,406.8
2010-12-14,406.8
2010-12-15,400.0
2010-12-16,400.0
2010-12-17,400.0
2010-12-20,404.9
2010-12-21,404.9
2010-12-22,404.9
2010-12-23,404.0
2010-12-24,400.0
2010-12-27,400.0
2010-12-28,400.0
2010-12-29,399.0
2010-12-30,400.0
2010-12-31,400.0
2011-01-03,395.0
2011-01-04,394.0
2011-01-05,395.0
