date,AFM
2017-10-06,970.0
2017-10-09,980.0
2017-10-10,980.0
2017-10-11,980.0
2017-10-12,980.0
2017-10-13,971.0
2017-10-16,971.0
2017-10-17,970.0
2017-10-18,990.0
2017-10-19,990.0
2017-10-20,990.0
2017-10-23,990.0
2017-10-24,985.0
2017-10-25,985.0
2017-10-26,985.0
2017-10-27,990.0
2017-10-30,976.0
2017-10-31,975.0
2017-11-01,980.0
2017-11-02,976.0
2017-11-03,990.0
2017-11-07,990.0
2017-11-08,989.0
2017-11-09,989.9
2017-11-10,990.0
2017-11-13,972.0
2017-11-14,975.0
2017-11-15,978.0
2017-11-16,978.0
2017-11-17,978.0
2017-11-20,980.0
2017-11-21,980.0
2017-11-22,980.0
2017-11-23,980.0
2017-11-24,980.0
2017-11-27,980.0
2017-11-28,980.0
2017-11-29,980.0
2017-11-30,980.0
2017-12-04,980.0
2017-12-05,980.0
2017-12-06,980.0
2017-12-07,980.0
2017-12-08,980.0
2017-12-11,980.0
2017-12-12,980.0
2017-12-13,994.0
2017-12-14,995.0
2017-12-15,995.0
2017-12-18,980.0
2017-12-19,980.0
2017-12-20,980.0
2017-12-21,980.0
2017-12-22,975.0
2017-12-25,975.0
2017-12-26,975.0
2017-12-27,975.0
2017-12-28,975.0
2017-12-29,1000.0
2018-01-02,995.0
2018-01-03,995.0
2018-01-04,997.0
2018-01-05,983.0
2018-01-08,1004.0
2018-01-09,991.0
2018-01-10,989.0
2018-01-12,1007.0
2018-01-15,1000.0
2018-01-16,998.0
2018-01-17,1000.0
2018-01-18,998.0
2018-01-19,1005.0
2018-01-22,1000.0
2018-01-23,1000.0
2018-01-24,1000.0
2018-01-25,1001.0
2018-01-26,1005.0
2018-01-29,999.0
2018-01-30,1008.0
2018-01-31,1020.0
2018-02-01,1018.0
2018-02-02,1018.0
2018-02-05,1018.0
2018-02-06,1018.0
2018-02-07,1018.0
2018-02-08,1006.0
2018-02-09,1008.0
2018-02-12,1008.0
2018-02-13,1008.0
2018-02-14,1018.0
2018-02-15,1018.0
2018-02-16,1010.0
2018-02-19,1010.0
2018-02-20,1010.0
2018-02-21,1010.0
2018-02-22,1010.0
2018-02-23,1049.0
2018-02-26,1038.0
2018-02-27,1036.0
2018-02-28,1036.0
2018-03-01,1024.0
2018-03-02,1036.0
2018-03-05,1036.0
2018-03-06,1023.0
2018-03-07,1010.0
2018-03-08,1021.0
2018-03-09,1021.0
2018-03-12,1021.0
2018-03-13,1021.0
2018-03-14,1011.0
2018-03-15,1020.0
2018-03-16,1020.0
2018-03-19,1020.0
2018-03-20,1026.0
2018-03-21,1011.0
2018-03-22,1025.0
2018-03-23,1025.0
2018-03-26,1025.0
2018-03-27,1025.0
2018-03-28,1025.0
2018-03-29,1013.0
2018-03-30,1013.0
2018-04-02,1026.0
2018-04-03,1023.0
2018-04-04,1023.0
2018-04-05,1036.0
2018-04-06,1018.0
2018-04-09,1020.0
2018-04-10,1050.0
2018-04-11,1030.0
2018-04-12,1023.0
2018-04-13,1122.0
2018-04-16,1090.0
2018-04-17,1084.0
2018-04-18,1080.0
2018-04-19,1080.0
2018-04-20,1080.0
2018-04-23,1066.0
2018-04-24,1067.0
2018-04-25,1067.0
2018-04-26,1080.0
2018-04-27,1177.0
2018-04-30,1135.0
2018-05-02,1120.0
2018-05-03,1104.0
2018-05-04,1170.0
2018-05-07,1151.0
2018-05-08,1151.0
2018-05-09,1150.0
2018-05-10,1150.0
2018-05-11,1150.0
2018-05-14,1139.0
2018-05-15,1139.0
2018-05-16,1126.0
2018-05-17,1111.0
2018-05-18,1000.0
2018-05-21,1026.0
2018-05-22,1046.0
2018-05-23,1049.0
2018-05-24,950.0
2018-05-25,1044.0
2018-05-28,1044.0
2018-05-29,1044.0
2018-05-30,1055.0
2018-05-31,1055.0
2018-06-01,1060.0
2018-06-04,1074.0
2018-06-05,1064.0
2018-06-06,1064.0
2018-06-07,1064.0
2018-06-08,1064.0
2018-06-11,1064.0
2018-06-12,1064.0
2018-06-13,1064.0
2018-06-14,1065.0
2018-06-18,1064.0
2018-06-19,1050.0
2018-06-20,1064.0
2018-06-21,1064.0
2018-06-22,1064.0
2018-06-25,1064.0
2018-06-26,1077.0
2018-06-27,1077.0
2018-06-28,1077.0
2018-06-29,1077.0
2018-07-02,1077.0
2018-07-03,1020.0
2018-07-04,1020.0
2018-07-05,1020.0
2018-07-06,1033.0
2018-07-09,1033.0
2018-07-10,1033.0
2018-07-11,1033.0
2018-07-12,1040.0
2018-07-13,1040.0
2018-07-16,1028.0
2018-07-17,1029.0
2018-07-18,1020.0
2018-07-19,1030.0
2018-07-20,1005.0
2018-07-23,1003.0
2018-07-24,1008.0
2018-07-25,1000.0
2018-07-26,1000.0
2018-07-27,1000.0
2018-07-31,1000.0
2018-08-01,1000.0
2018-08-02,1000.0
2018-08-03,1000.0
2018-08-06,1003.0
2018-08-07,1003.0
2018-08-08,1003.0
2018-08-09,1003.0
2018-08-10,995.0
2018-08-13,999.0
2018-08-15,1003.0
