date,CMA
2002-05-22,375.0
2002-05-23,375.0
2002-05-27,375.0
2002-05-28,375.0
2002-05-29,375.0
2002-06-03,375.0
2002-06-04,375.0
2002-06-05,376.0
2002-06-06,375.0
2002-06-07,375.0
2002-06-12,370.0
2002-06-13,370.0
2002-06-14,375.0
2002-06-21,377.5
2002-06-28,374.5
2002-07-02,362.5
2002-07-03,373.0
2002-07-04,362.5
2002-07-05,363.5
2002-07-08,364.0
2002-07-09,363.5
2002-07-10,366.0
2002-07-11,366.5
2002-07-12,367.0
2002-07-15,370.0
2002-07-16,370.5
2002-07-17,372.5
2002-07-18,370.5
2002-07-19,373.0
2002-07-22,372.5
2002-07-23,372.5
2002-07-24,372.5
2002-07-26,373.0
2002-07-29,373.0
2002-07-31,374.5
2002-08-01,377.5
2002-08-02,385.0
2002-08-09,370.0
2002-08-28,375.5
2002-09-03,376.0
2002-09-04,378.0
2002-09-06,378.5
2002-09-09,378.5
2002-09-10,378.5
2002-09-11,382.5
2002-09-12,378.0
2002-09-16,380.5
2002-09-17,382.5
2002-09-19,389.0
2002-09-20,389.5
2002-09-23,389.0
2002-09-24,385.0
2002-09-25,383.0
2002-09-26,383.5
2002-09-27,382.5
2002-10-01,380.0
2002-10-02,381.0
2002-10-03,382.5
2002-10-04,383.0
2002-10-09,385.0
2002-10-10,385.0
2002-10-11,385.5
2002-10-15,387.5
2002-10-17,388.0
2002-10-21,388.0
2002-10-22,388.0
2002-10-24,388.5
2002-10-30,388.5
2002-11-01,390.0
2002-11-05,386.0
2002-11-07,385.5
2002-11-13,390.0
2002-11-15,385.0
2002-11-20,387.5
2002-11-25,388.0
2002-11-29,390.0
2002-12-03,390.0
2002-12-10,390.5
2002-12-12,392.0
2002-12-13,395.0
2002-12-16,391.0
2002-12-20,395.0
2002-12-24,392.5
2002-12-25,396.0
2002-12-30,396.0
2002-12-31,394.0
2003-01-03,396.5
2003-01-07,391.5
2003-01-10,393.5
2003-01-14,397.5
2003-01-16,404.5
2003-01-17,406.0
2003-01-21,407.0
2003-01-22,409.0
2003-01-23,409.0
2003-01-27,400.5
2003-02-04,400.5
2003-02-06,402.5
2003-02-11,402.5
2003-02-14,404.0
2003-02-18,407.0
2003-02-20,415.5
2003-02-21,425.0
2003-02-27,437.0
2003-02-28,431.5
2003-03-03,435.0
2003-03-04,440.0
2003-03-06,440.0
2003-03-07,440.0
2003-03-10,438.5
2003-03-12,437.5
2003-03-13,437.0
2003-03-14,437.5
2003-03-17,435.0
2003-03-19,422.5
2003-03-21,426.0
2003-03-24,425.0
2003-03-25,425.0
2003-03-26,422.5
2003-03-28,437.0
2003-03-31,425.0
2003-04-01,435.5
2003-04-03,439.0
2003-04-07,445.0
2003-04-08,441.5
2003-04-09,445.0
2003-04-10,445.0
2003-04-11,445.0
2003-04-15,445.0
2003-04-16,445.0
2003-04-17,445.0
2003-04-18,442.5
2003-04-22,450.0
2003-04-23,443.0
2003-04-29,445.0
2003-04-30,450.0
2003-05-02,450.0
2003-05-09,452.5
2003-05-16,450.0
2003-05-20,443.0
2003-05-21,444.0
2003-05-22,455.0
2003-05-23,455.5
2003-05-26,456.0
2003-05-27,455.5
