date,LHM
2001-10-23,303.273
2001-10-24,291.818
2001-10-25,287.727
2001-10-26,286.636
2001-10-29,289.364
2001-10-30,289.091
2001-10-31,289.091
2001-11-01,291.818
2001-11-02,291.818
2001-11-05,291.818
2001-11-07,291.818
2001-11-08,291.818
2001-11-09,290.182
2001-11-12,289.091
2001-11-13,289.091
2001-11-14,289.091
2001-11-15,289.364
2001-11-16,289.636
2001-11-19,289.364
2001-11-20,289.364
2001-11-21,305.455
2001-11-22,305.455
2001-11-23,305.182
2001-11-26,305.182
2001-11-27,297.818
2001-11-28,300.0
2001-11-29,300.0
2001-11-30,305.455
2001-12-03,305.455
2001-12-04,321.818
2001-12-05,316.364
2001-12-06,316.364
2001-12-07,309.545
2001-12-10,315.545
2001-12-11,306.818
2001-12-12,315.818
2001-12-13,313.636
2001-12-14,315.545
2001-12-19,315.545
2001-12-20,312.818
2001-12-21,303.818
2001-12-24,300.0
2001-12-25,300.0
2001-12-26,294.545
2001-12-27,293.182
2001-12-28,294.545
2001-12-31,292.909
2002-01-03,272.727
2002-01-04,273.0
2002-01-07,275.727
2002-01-09,278.455
2002-01-10,276.818
2002-01-14,280.909
2002-01-15,277.091
2002-01-16,282.0
2002-01-17,281.455
2002-01-18,280.909
2002-01-21,280.909
2002-01-22,286.364
2002-01-23,290.455
2002-01-24,298.636
2002-01-25,305.455
2002-01-28,309.273
2002-01-29,306.545
2002-01-30,294.545
2002-01-31,294.545
2002-02-01,300.0
2002-02-04,300.0
2002-02-05,301.364
2002-02-06,302.727
2002-02-07,302.727
2002-02-08,295.091
2002-02-11,287.727
2002-02-12,289.091
2002-02-13,293.182
2002-02-14,293.182
2002-02-15,296.727
2002-02-18,297.818
2002-02-19,298.636
2002-02-20,298.636
2002-02-21,298.636
2002-02-22,298.636
2002-02-26,295.091
2002-02-27,295.091
2002-02-28,295.091
2002-03-01,295.091
2002-03-04,302.455
2002-03-05,302.455
2002-03-06,300.545
2002-03-07,301.909
2002-03-08,303.273
2002-03-11,303.273
2002-03-12,304.091
2002-03-13,303.545
2002-03-14,303.545
2002-03-18,306.818
2002-03-19,305.455
2002-03-20,306.818
2002-03-21,305.455
2002-03-22,308.182
2002-03-25,305.727
2002-03-26,305.455
2002-03-27,305.727
2002-03-28,307.364
2002-03-29,308.182
2002-04-01,305.455
2002-04-02,306.818
2002-04-03,306.545
2002-04-05,307.636
2002-04-08,307.636
2002-04-09,305.455
2002-04-10,307.909
2002-04-11,305.455
2002-04-12,308.727
2002-04-16,313.636
2002-04-18,313.364
2002-04-19,308.455
2002-04-22,307.091
2002-04-23,305.727
2002-04-26,304.909
2002-04-29,310.909
2002-04-30,304.909
2002-05-02,304.364
2002-05-03,308.182
2002-05-06,308.182
2002-05-07,308.182
2002-05-08,304.909
2002-05-10,308.182
2002-05-13,308.727
2002-05-14,308.455
2002-05-16,309.545
2002-05-17,308.182
2002-05-21,308.727
2002-05-22,309.545
2002-05-23,309.545
2002-05-24,309.545
2002-05-27,300.0
2002-05-28,297.273
2002-05-29,295.364
2002-05-30,294.545
2002-06-03,295.909
2002-06-05,295.909
2002-06-06,297.273
2002-06-10,297.273
2002-06-11,292.091
2002-06-13,295.909
2002-06-14,300.0
2002-06-20,296.727
2002-06-21,296.182
2002-06-24,296.455
2002-06-25,293.182
2002-06-28,305.455
2002-07-02,287.182
2002-07-03,287.182
2002-07-05,289.636
2002-07-09,289.364
2002-07-10,290.727
2002-07-11,292.091
2002-07-12,293.182
2002-07-16,295.909
2002-07-17,293.455
2002-07-18,295.909
2002-07-19,297.273
2002-07-22,299.182
2002-07-23,305.455
2002-07-25,305.455
2002-07-26,308.182
2002-08-01,308.455
2002-08-02,308.182
2002-08-05,308.182
2002-08-06,305.455
2002-08-07,305.455
2002-08-09,300.0
2002-08-13,302.727
2002-08-16,297.545
2002-08-23,309.0
2002-08-27,309.0
2002-08-28,302.727
2002-09-04,300.545
2002-09-05,300.0
2002-09-11,304.091
2002-09-16,304.909
2002-09-17,306.818
2002-09-18,307.636
2002-09-19,309.545
2002-09-20,310.909
2002-09-24,299.455
2002-09-25,300.0
2002-09-26,300.545
2002-09-27,301.364
2002-09-30,298.636
2002-10-01,300.545
2002-10-02,300.0
2002-10-03,301.364
2002-10-04,301.364
2002-10-07,301.364
2002-10-09,302.727
2002-10-10,304.091
2002-10-14,304.091
2002-10-15,305.455
