date,SAM
2003-06-04,367.0
2003-06-05,388.0
2003-06-06,405.0
2003-06-09,410.0
2003-06-10,399.0
2003-06-11,390.0
2003-06-12,380.0
2003-06-13,381.0
2003-06-16,380.0
2003-06-17,380.0
2003-06-18,370.0
2003-06-19,381.9
2003-06-20,390.0
2003-06-23,384.0
2003-06-24,385.0
2003-06-25,381.0
2003-06-26,376.1
2003-06-27,379.9
2003-06-30,380.0
2003-07-01,380.1
2003-07-02,384.0
2003-07-03,380.0
2003-07-04,380.0
2003-07-07,375.5
2003-07-08,375.0
2003-07-09,379.0
2003-07-10,380.0
2003-07-11,380.0
2003-07-14,383.0
2003-07-15,382.0
2003-07-16,382.0
2003-07-17,380.0
2003-07-18,380.9
2003-07-21,380.0
2003-07-22,372.6
2003-07-23,360.0
2003-07-24,365.0
2003-07-25,369.9
2003-07-28,370.1
2003-07-29,372.3
2003-07-31,370.1
2003-08-01,370.0
2003-08-04,369.0
2003-08-05,360.1
2003-08-06,361.0
2003-08-07,345.1
2003-08-08,359.0
2003-08-11,360.0
2003-08-12,360.0
2003-08-13,362.0
2003-08-15,354.0
2003-08-18,352.2
2003-08-19,353.0
2003-08-22,360.0
2003-08-25,366.0
2003-08-26,374.0
2003-08-28,374.0
2003-08-29,370.0
2003-09-01,370.0
2003-09-02,370.0
2003-09-03,375.0
2003-09-04,378.0
2003-09-05,378.0
2003-09-08,365.2
2003-09-09,367.0
2003-09-10,365.0
2003-09-11,362.0
2003-09-12,355.0
2003-09-15,355.0
2003-09-16,341.5
2003-09-18,360.0
2003-09-19,347.0
2003-09-22,342.0
2003-09-23,331.0
2003-09-24,330.1
2003-09-25,342.0
2003-09-26,342.0
2003-09-29,321.5
2003-09-30,310.0
2003-10-01,309.0
2003-10-02,327.5
2003-10-03,347.15
2003-10-06,350.0
2003-10-07,345.1
2003-10-08,350.0
2003-10-09,340.2
2003-10-10,345.0
2003-10-13,345.6
2003-10-14,346.0
2003-10-15,343.2
2003-10-16,345.3
2003-10-17,346.1
2003-10-20,348.9
2003-10-21,340.0
2003-10-22,340.0
2003-10-23,346.1
2003-10-24,347.4
2003-10-27,344.0
2003-10-28,348.8
2003-10-29,345.0
2003-10-30,340.0
2003-10-31,341.0
2003-11-03,341.0
2003-11-04,345.0
2003-11-05,340.0
2003-11-07,340.0
2003-11-10,340.0
2003-11-11,340.0
2003-11-12,335.5
2003-11-13,340.0
2003-11-14,340.0
2003-11-17,336.1
2003-11-19,336.2
2003-11-20,330.0
2003-11-21,329.5
2003-11-24,320.0
2003-11-25,315.0
2003-11-28,320.0
2003-12-01,325.0
2003-12-02,325.0
2003-12-03,340.0
2003-12-04,345.0
2003-12-05,338.2
2003-12-08,336.0
2003-12-09,340.0
2003-12-10,347.0
2003-12-11,355.0
2003-12-12,345.0
2003-12-15,348.0
2003-12-16,346.7
2003-12-17,345.5
2003-12-18,339.0
2003-12-19,339.0
2003-12-22,336.0
2003-12-23,340.0
2003-12-24,335.6
2003-12-25,338.0
