date,TQM
2017-04-19,796.8
2017-04-20,796.8
2017-04-21,780.0
2017-04-24,777.7
2017-04-25,777.1
2017-04-26,778.1
2017-04-27,801.0
2017-04-28,806.0
2017-05-02,806.0
2017-05-03,800.2
2017-05-04,805.0
2017-05-05,799.1
2017-05-08,801.0
2017-05-09,813.0
2017-05-10,820.0
2017-05-11,808.0
2017-05-12,816.0
2017-05-15,810.0
2017-05-16,809.0
2017-05-17,809.0
2017-05-18,813.0
2017-05-19,813.0
2017-05-22,805.1
2017-05-23,805.2
2017-05-24,819.0
2017-05-25,819.0
2017-05-26,807.4
2017-05-29,807.8
2017-05-30,819.0
2017-05-31,845.0
2017-06-01,843.9
2017-06-02,843.0
2017-06-05,826.0
2017-06-06,831.5
2017-06-07,845.0
2017-06-08,870.0
2017-06-09,835.0
2017-06-12,845.0
2017-06-13,790.0
2017-06-14,811.1
2017-06-15,835.0
2017-06-16,814.2
2017-06-19,819.5
2017-06-20,840.0
2017-06-21,840.0
2017-06-22,852.0
2017-06-23,850.0
2017-06-28,838.0
2017-06-29,850.0
2017-06-30,863.0
2017-07-03,864.5
2017-07-04,843.0
2017-07-05,850.0
2017-07-06,870.0
2017-07-07,870.0
2017-07-10,855.0
2017-07-11,867.0
2017-07-12,853.0
2017-07-13,862.5
2017-07-14,865.0
2017-07-17,855.0
2017-07-18,850.0
2017-07-19,850.0
2017-07-20,850.0
2017-07-21,850.0
2017-07-24,856.0
2017-07-25,847.0
2017-07-26,863.0
2017-07-27,863.0
2017-07-28,845.0
2017-07-31,845.4
2017-08-01,846.0
2017-08-02,844.2
2017-08-03,845.0
2017-08-04,844.3
2017-08-07,844.3
2017-08-08,864.0
2017-08-09,846.0
2017-08-10,846.1
2017-08-11,860.0
2017-08-15,848.5
2017-08-16,848.2
2017-08-17,850.1
2017-08-18,859.0
2017-08-22,859.0
2017-08-23,850.1
2017-08-24,850.1
2017-08-25,859.0
2017-08-28,859.0
2017-08-29,851.0
2017-08-30,851.0
2017-08-31,852.0
2017-09-04,857.0
2017-09-05,855.0
2017-09-06,860.0
2017-09-07,870.0
2017-09-08,879.0
2017-09-11,879.0
2017-09-12,880.0
2017-09-13,900.0
