date,ALM
2002-01-14,464.0
2002-01-15,457.95
2002-01-16,436.0
2002-01-17,436.0
2002-01-18,436.0
2002-01-21,436.0
2002-01-22,428.0
2002-01-23,420.0
2002-01-24,420.0
2002-01-25,420.0
2002-01-28,420.0
2002-01-29,420.0
2002-01-30,420.0
2002-01-31,420.0
2002-02-01,420.0
2002-02-04,420.0
2002-02-05,420.0
2002-02-06,420.0
2002-02-07,420.0
2002-02-08,420.0
2002-02-11,420.0
2002-02-12,420.05
2002-02-13,420.0
2002-02-14,420.0
2002-02-15,420.0
2002-02-18,420.0
2002-02-19,420.0
2002-02-20,430.0
2002-02-21,430.0
2002-02-22,430.0
2002-02-26,430.0
2002-02-27,425.0
2002-02-28,420.0
2002-03-01,420.0
2002-03-04,420.0
2002-03-05,420.0
2002-03-06,420.0
2002-03-07,419.0
2002-03-08,414.0
2002-03-11,415.0
2002-03-12,400.0
2002-03-13,378.0
2002-03-14,365.0
2002-03-18,376.0
2002-03-19,380.0
2002-03-20,380.0
2002-03-21,370.0
2002-03-22,380.0
2002-03-25,362.0
2002-03-26,365.0
2002-03-27,365.0
2002-03-28,365.0
2002-03-29,370.0
2002-04-01,383.0
2002-04-02,383.0
2002-04-03,392.0
2002-04-05,370.0
2002-04-08,370.0
2002-04-09,370.0
2002-04-10,380.0
2002-04-11,380.0
2002-04-12,380.0
2002-04-15,369.0
2002-04-16,360.0
2002-04-17,360.0
2002-04-18,339.0
2002-04-19,320.0
2002-04-22,320.0
2002-04-23,301.0
2002-04-26,333.0
2002-04-29,350.0
2002-04-30,349.0
2002-05-02,350.0
2002-05-03,350.0
2002-05-06,362.0
2002-05-07,362.0
2002-05-09,356.0
2002-05-10,360.0
2002-05-14,360.0
2002-05-15,350.0
2002-05-17,359.0
2002-05-21,351.1
2002-05-22,352.0
2002-05-23,359.0
2002-05-27,359.0
2002-05-28,358.0
2002-05-29,361.0
2002-05-30,360.0
2002-05-31,363.0
2002-06-03,360.0
2002-06-04,360.0
2002-06-05,360.0
2002-06-06,360.0
2002-06-07,366.0
2002-06-10,371.0
2002-06-11,372.05
2002-06-12,375.1
2002-06-13,380.0
2002-06-17,378.0
2002-06-19,375.0
2002-06-20,376.0
2002-06-24,373.0
2002-06-26,365.0
2002-06-27,365.0
2002-07-01,365.0
2002-07-02,373.0
2002-07-03,365.0
2002-07-04,360.0
2002-07-05,355.0
2002-07-08,365.0
