date,DYT
2024-01-10,190.0
2024-01-12,190.0
2024-01-15,195.0
2024-01-16,200.0
2024-01-17,198.55
2024-01-18,200.0
2024-01-19,197.7
2024-01-22,198.7
2024-01-23,199.95
2024-01-24,199.0
2024-01-25,200.0
2024-01-26,202.65
2024-01-29,202.0
2024-01-30,201.95
2024-01-31,202.0
2024-02-01,201.5
2024-02-02,200.0
2024-02-05,200.0
2024-02-06,202.0
2024-02-07,207.85
2024-02-08,217.8
2024-02-09,212.0
2024-02-12,212.2
2024-02-13,213.0
2024-02-14,213.9
2024-02-15,213.0
2024-02-16,210.1
2024-02-19,211.0
2024-02-20,212.05
2024-02-21,210.25
2024-02-22,210.0
2024-02-23,210.05
2024-02-26,210.15
2024-02-27,211.3
2024-02-28,213.3
2024-02-29,215.0
2024-03-01,216.5
2024-03-04,222.5
2024-03-05,232.5
2024-03-06,233.0
2024-03-07,226.0
2024-03-08,225.0
2024-03-11,223.5
2024-03-12,227.6
2024-03-13,224.0
2024-03-14,226.75
2024-03-15,227.0
2024-03-18,231.8
2024-03-19,231.9
2024-03-20,233.5
2024-03-21,229.0
2024-03-22,231.5
2024-03-25,228.0
2024-03-26,230.1
2024-03-27,233.45
2024-03-28,238.5
2024-03-29,254.9
2024-04-01,259.0
2024-04-02,266.05
2024-04-03,267.0
2024-04-04,267.0
2024-04-05,268.0
2024-04-08,268.15
2024-04-09,264.6
2024-04-15,268.0
2024-04-16,265.0
2024-04-17,259.0
2024-04-18,263.45
2024-04-19,258.0
2024-04-22,250.0
2024-04-23,250.0
2024-04-24,250.0
2024-04-25,250.0
2024-04-26,248.0
2024-04-29,248.0
2024-04-30,250.0
2024-05-02,247.55
2024-05-03,259.8
2024-05-06,251.1
2024-05-07,253.0
2024-05-08,251.0
2024-05-09,249.2
2024-05-10,251.2
2024-05-13,251.2
2024-05-14,250.0
2024-05-15,250.0
2024-05-16,251.0
2024-05-17,249.0
2024-05-20,250.0
2024-05-21,248.0
2024-05-22,243.0
2024-05-23,247.5
2024-05-24,250.5
2024-05-27,249.0
2024-05-28,252.0
2024-05-29,252.0
2024-05-30,251.1
2024-05-31,250.0
2024-06-03,251.9
2024-06-04,251.0
2024-06-05,249.0
2024-06-06,248.5
2024-06-07,248.8
2024-06-10,249.0
2024-06-11,246.5
2024-06-12,245.0
2024-06-13,248.0
2024-06-14,247.0
2024-06-19,246.1
2024-06-20,248.05
2024-06-21,247.0
2024-06-24,252.0
2024-06-25,263.0
2024-06-26,260.0
2024-06-27,260.0
2024-06-28,258.5
2024-07-01,258.25
2024-07-02,258.0
2024-07-03,256.0
2024-07-04,255.6
