date,ARD
2023-01-31,396.0
2023-02-01,396.0
2023-02-02,396.0
2023-02-03,399.0
2023-02-06,396.0
2023-02-07,400.0
2023-02-08,400.0
2023-02-09,406.9
2023-02-10,406.9
2023-02-13,405.0
2023-02-14,406.9
2023-02-15,406.95
2023-02-16,409.0
2023-02-17,410.0
2023-02-20,414.0
2023-02-21,413.5
2023-02-22,410.0
2023-02-23,410.0
2023-02-24,413.75
2023-02-27,413.75
2023-02-28,414.85
2023-03-01,414.85
2023-03-02,405.05
2023-03-03,405.0
2023-03-06,414.0
2023-03-07,413.5
2023-03-08,414.0
2023-03-09,404.15
2023-03-10,413.95
2023-03-13,413.5
2023-03-14,398.0
2023-03-15,407.0
2023-03-16,400.7
2023-03-17,413.0
2023-03-20,413.0
2023-03-21,413.0
2023-03-22,412.2
2023-03-23,420.0
2023-03-24,423.0
2023-03-27,425.0
2023-03-28,433.0
2023-03-29,420.0
2023-03-30,413.55
2023-03-31,417.0
2023-04-03,417.0
2023-04-04,417.0
2023-04-05,417.0
2023-04-06,417.0
2023-04-07,417.0
2023-04-10,429.0
2023-04-11,429.0
2023-04-12,428.0
2023-04-13,420.0
2023-04-14,420.0
2023-04-17,417.0
2023-04-18,418.0
2023-04-19,418.0
2023-04-20,427.85
2023-04-21,427.8
2023-04-25,427.8
2023-04-26,430.0
2023-04-27,435.0
2023-04-28,450.0
2023-05-02,450.0
2023-05-03,450.0
2023-05-04,450.0
2023-05-05,430.0
2023-05-08,430.0
2023-05-09,430.0
2023-05-10,430.0
2023-05-11,430.0
2023-05-12,440.85
2023-05-15,440.8
2023-05-16,440.8
2023-05-17,441.9
2023-05-18,440.0
2023-05-19,440.0
2023-05-22,441.0
2023-05-23,435.0
2023-05-24,442.0
2023-05-25,444.0
2023-05-26,450.0
2023-05-29,449.6
2023-05-30,446.0
2023-05-31,450.0
2023-06-01,430.8
2023-06-02,449.95
2023-06-05,448.95
2023-06-06,448.95
2023-06-07,449.8
2023-06-08,449.8
2023-06-09,449.9
2023-06-12,449.9
2023-06-13,449.75
2023-06-14,449.75
2023-06-15,442.0
2023-06-16,442.0
2023-06-19,440.0
2023-06-20,450.0
2023-06-21,447.9
2023-06-22,450.0
2023-06-23,444.0
2023-06-26,436.0
2023-06-27,449.0
2023-06-28,446.0
2023-07-03,446.0
2023-07-04,440.0
2023-07-05,440.0
2023-07-06,440.0
2023-07-07,440.0
2023-07-10,435.0
2023-07-11,434.0
2023-07-12,434.05
2023-07-13,427.0
2023-07-14,439.8
2023-07-17,438.0
2023-07-18,438.0
2023-07-20,435.0
2023-07-21,435.0
2023-07-24,435.0
2023-07-25,435.15
2023-07-26,438.0
2023-07-27,438.0
2023-07-28,443.0
2023-07-31,463.0
2023-08-01,462.0
2023-08-02,450.0
2023-08-03,440.0
2023-08-04,450.0
2023-08-07,450.0
2023-08-08,450.0
2023-08-09,441.5
2023-08-10,441.55
2023-08-11,441.5
2023-08-15,442.0
2023-08-16,441.0
2023-08-17,441.0
2023-08-18,442.0
2023-08-22,441.0
2023-08-23,449.95
2023-08-24,430.2
2023-08-25,431.2
2023-08-28,440.0
2023-08-29,439.0
2023-08-30,440.0
2023-08-31,445.0
2023-09-01,450.0
2023-09-04,450.0
2023-09-05,449.0
2023-09-06,440.0
2023-09-07,449.85
2023-09-08,444.5
2023-09-11,444.5
2023-09-12,435.0
2023-09-13,446.0
2023-09-14,435.1
2023-09-15,436.0
2023-09-18,436.0
2023-09-19,438.0
2023-09-20,430.0
2023-09-21,440.0
2023-09-22,440.0
2023-09-25,445.0
2023-09-26,444.4
2023-09-27,445.0
2023-10-02,440.0
2023-10-03,435.0
2023-10-04,440.0
2023-10-05,466.35
2023-10-06,450.0
2023-10-09,450.0
2023-10-10,462.0
2023-10-11,460.0
2023-10-12,455.0
2023-10-13,452.0
2023-10-16,455.0
2023-10-17,454.5
2023-10-18,450.0
2023-10-19,450.0
2023-10-20,446.0
2023-10-23,446.0
2023-10-24,450.0
2023-10-25,454.0
2023-10-26,449.0
2023-10-27,446.05
2023-10-30,446.0
2023-10-31,446.0
2023-11-01,446.0
2023-11-02,452.0
2023-11-03,442.0
2023-11-07,444.0
2023-11-08,453.6
2023-11-09,453.55
2023-11-10,453.55
2023-11-13,453.55
2023-11-14,453.0
2023-11-15,453.0
2023-11-16,453.0
2023-11-17,442.0
2023-11-20,442.05
2023-11-21,450.0
2023-11-22,450.0
2023-11-23,449.95
2023-11-24,442.05
2023-11-27,440.0
2023-11-28,440.0
2023-11-29,443.0
2023-11-30,444.0
2023-12-01,443.0
2023-12-04,440.2
2023-12-05,440.2
2023-12-06,440.45
2023-12-07,444.9
2023-12-08,441.0
2023-12-11,440.45
2023-12-12,441.0
2023-12-13,449.0
2023-12-14,440.1
2023-12-15,448.0
2023-12-18,442.5
2023-12-19,447.0
2023-12-20,447.0
