date,EQD
2002-10-17,579.0
2002-10-18,578.0
2002-10-21,577.0
2002-10-22,580.0
2002-10-23,580.0
2002-10-24,580.0
2002-10-25,585.0
2002-10-28,580.0
2002-10-29,580.0
2002-10-31,580.0
2002-11-05,580.0
2002-11-07,580.0
2002-11-11,580.0
2002-11-12,580.0
2002-11-13,580.0
2002-11-15,584.0
2002-11-19,580.0
2002-11-20,580.0
2002-11-25,580.0
2002-11-26,575.0
2002-11-28,566.0
2002-11-29,580.0
2002-12-03,581.0
2002-12-04,582.0
2002-12-10,580.0
2002-12-11,580.0
2002-12-12,584.0
2002-12-13,583.0
2002-12-16,580.0
2002-12-18,580.0
2002-12-19,580.0
2002-12-20,577.0
2002-12-25,565.0
2002-12-26,577.0
2002-12-27,570.0
2002-12-30,569.0
2002-12-31,550.0
2003-01-03,553.0
2003-01-09,550.0
2003-01-10,551.0
2003-01-13,551.0
2003-01-15,551.0
2003-01-16,551.0
2003-01-17,551.0
2003-01-21,556.0
2003-01-22,553.0
2003-01-28,552.0
2003-01-29,552.0
2003-01-31,557.0
2003-02-03,557.0
2003-02-04,557.0
2003-02-05,560.0
2003-02-06,565.0
2003-02-07,567.0
2003-02-10,570.0
2003-02-11,569.0
2003-02-14,569.0
2003-02-18,571.0
2003-02-19,575.0
2003-02-24,582.0
2003-02-25,590.0
2003-02-26,595.0
2003-02-27,600.0
2003-02-28,610.0
2003-03-03,610.0
2003-03-04,610.0
2003-03-12,596.0
2003-03-13,590.0
2003-03-14,585.0
2003-03-17,585.0
2003-03-18,600.0
2003-03-19,600.0
2003-03-21,595.0
2003-03-24,600.0
2003-03-25,595.0
2003-04-01,590.0
2003-04-03,590.0
2003-04-08,595.0
2003-04-09,590.0
2003-04-11,595.0
2003-04-14,595.0
2003-04-15,595.0
2003-04-16,605.0
2003-04-17,608.0
2003-04-22,610.0
2003-04-23,614.0
2003-04-24,625.0
2003-04-25,625.0
2003-04-28,620.0
2003-04-30,610.0
2003-05-02,605.0
2003-05-08,605.0
2003-05-09,607.0
2003-05-12,610.0
2003-05-16,615.0
2003-05-20,607.0
2003-05-21,616.0
2003-05-22,616.0
2003-05-23,620.0
2003-05-28,635.0
2003-05-30,640.0
2003-06-02,649.0
2003-06-03,650.0
2003-06-04,650.0
2003-06-05,680.0
2003-06-06,705.0
2003-06-09,705.0
2003-06-10,670.0
2003-06-11,670.0
2003-06-13,655.0
2003-06-16,650.0
2003-06-17,650.0
2003-06-18,657.0
2003-06-19,675.0
2003-06-20,690.0
2003-06-23,688.0
2003-06-24,688.0
2003-06-26,650.0
2003-06-30,649.0
2003-07-03,635.0
2003-07-04,640.0
2003-07-07,640.0
2003-07-08,640.0
2003-07-10,640.0
2003-07-11,645.0
2003-07-14,650.0
2003-07-15,650.0
2003-07-22,640.0
2003-07-23,650.0
2003-07-24,650.0
2003-07-25,650.0
2003-07-28,630.0
2003-07-31,632.0
2003-08-01,650.0
2003-08-05,650.0
2003-08-06,650.0
2003-08-07,651.0
2003-08-08,660.0
2003-08-12,665.0
2003-08-13,670.0
2003-08-18,660.0
2003-08-22,670.0
2003-08-28,725.0
2003-08-29,738.0
2003-09-02,725.0
2003-09-03,755.0
2003-09-04,780.0
2003-09-09,750.0
2003-09-10,750.0
2003-09-11,750.0
2003-09-12,755.0
2003-09-16,769.0
2003-09-19,752.0
2003-09-22,755.0
2003-09-23,730.0
2003-09-25,750.0
2003-09-26,750.0
2003-10-01,735.0
2003-10-02,745.0
2003-10-06,746.0
2003-10-07,750.0
2003-10-09,780.0
2003-10-10,779.0
2003-10-17,776.0
2003-10-22,780.0
2003-10-27,780.0
2003-11-03,773.0
2003-11-05,780.0
2003-11-07,780.0
2003-11-11,775.0
2003-11-12,773.0
2003-11-13,780.0
2003-11-14,770.0
2003-11-17,773.0
2003-11-19,774.0
2003-11-28,766.0
2003-12-01,765.0
2003-12-02,770.0
2003-12-03,770.0
2003-12-04,780.0
2003-12-05,777.0
2003-12-08,785.0
