date,SMI
2002-07-12,780.0
2002-07-15,795.0
2002-07-17,790.0
2002-07-18,790.0
2002-07-19,795.0
2002-07-22,766.0
2002-07-23,752.0
2002-07-24,785.0
2002-07-25,785.0
2002-07-26,780.0
2002-07-31,786.0
2002-08-01,808.0
2002-08-02,820.0
2002-08-07,800.0
2002-08-09,805.0
2002-08-15,771.0
2002-08-16,776.0
2002-08-22,799.0
2002-08-26,800.0
2002-08-28,810.0
2002-08-29,809.0
2002-08-30,800.0
2002-09-04,793.0
2002-09-06,795.0
2002-09-09,785.0
2002-09-10,785.0
2002-09-11,790.0
2002-09-12,780.0
2002-09-13,780.0
2002-09-17,780.0
2002-09-20,780.0
2002-09-23,775.0
2002-09-24,775.0
2002-09-25,775.0
2002-09-27,760.0
2002-09-30,720.0
2002-10-01,759.0
2002-10-02,759.0
2002-10-08,755.0
2002-10-14,715.0
2002-10-15,745.0
2002-10-16,701.0
2002-10-17,735.0
2002-10-18,734.0
2002-10-21,730.0
2002-10-23,691.0
2002-10-24,691.0
2002-10-25,650.0
2002-10-28,689.0
2002-10-31,652.0
2002-11-01,642.0
2002-11-04,675.0
2002-11-08,642.0
2002-11-13,631.0
2002-11-15,630.0
2002-11-21,627.0
2002-11-22,624.0
2002-12-02,627.0
2002-12-04,617.0
2002-12-05,654.0
2002-12-13,620.0
2002-12-18,625.0
2002-12-20,625.0
2002-12-26,619.0
2002-12-27,582.0
2002-12-30,582.0
2002-12-31,556.0
2003-01-09,566.0
2003-01-13,542.0
2003-01-14,574.0
2003-01-15,574.0
2003-01-16,541.0
2003-01-17,565.0
2003-01-21,543.0
2003-01-22,541.0
2003-01-23,542.0
2003-01-24,542.0
2003-01-27,543.0
2003-01-28,532.0
2003-01-29,530.0
2003-02-05,525.0
2003-02-06,521.0
2003-02-07,526.0
2003-02-10,524.0
2003-02-11,523.0
2003-02-19,522.0
2003-02-21,502.0
2003-02-24,520.0
2003-02-25,520.0
2003-02-26,523.0
2003-02-27,540.0
2003-02-28,530.0
2003-03-03,540.0
2003-03-04,528.0
2003-03-06,528.0
2003-03-07,521.0
2003-03-11,514.0
2003-03-12,500.0
2003-03-13,498.0
2003-03-17,499.0
2003-03-18,500.0
2003-03-19,500.0
2003-03-20,500.0
2003-03-21,506.0
2003-03-24,505.0
2003-03-25,530.0
2003-03-26,560.0
2003-03-28,560.0
2003-04-01,530.0
2003-04-02,540.0
2003-04-03,544.0
2003-04-07,546.0
2003-04-11,560.0
2003-04-14,560.0
2003-04-15,560.0
2003-04-16,590.0
2003-04-17,602.0
2003-04-18,617.0
2003-04-21,616.0
2003-04-22,617.0
2003-04-24,608.0
2003-04-25,608.0
2003-04-28,609.0
2003-04-29,612.0
2003-04-30,625.0
2003-05-02,635.0
2003-05-06,630.0
2003-05-09,619.0
2003-05-13,612.0
2003-05-16,612.0
2003-05-20,610.0
2003-05-21,605.0
2003-05-22,602.0
2003-05-23,605.0
2003-05-27,610.0
2003-05-28,613.0
2003-05-29,623.0
2003-05-30,625.0
2003-06-02,635.0
2003-06-03,634.0
2003-06-04,636.0
2003-06-05,660.0
2003-06-06,675.0
2003-06-09,665.0
2003-06-10,666.0
2003-06-11,666.0
2003-06-12,666.0
2003-06-13,666.0
2003-06-16,661.0
2003-06-17,661.0
2003-06-18,676.0
2003-06-19,700.0
2003-06-20,692.0
2003-06-23,728.0
2003-06-24,728.0
2003-06-25,727.0
2003-06-26,726.0
2003-06-27,715.0
2003-06-30,700.0
2003-07-01,650.0
2003-07-07,590.0
2003-07-08,571.0
2003-07-10,570.0
2003-07-11,570.0
2003-07-14,580.0
2003-07-16,579.0
2003-07-17,579.0
2003-07-18,578.0
2003-07-22,560.0
2003-07-24,558.0
2003-07-25,578.0
2003-08-01,578.0
2003-08-04,578.0
2003-08-08,581.0
2003-08-18,585.0
2003-08-19,585.0
2003-08-22,590.0
2003-08-25,594.0
2003-08-26,595.0
2003-08-28,600.0
2003-08-29,600.0
2003-09-02,600.0
2003-09-03,610.0
2003-09-04,610.0
2003-09-05,608.0
2003-09-08,605.0
2003-09-09,600.0
2003-09-10,585.0
2003-09-11,585.0
2003-09-12,585.0
2003-09-15,565.0
2003-09-16,532.0
2003-09-18,548.0
2003-09-19,550.0
2003-09-22,550.0
2003-09-23,540.0
2003-09-24,550.0
2003-09-26,540.0
2003-09-30,543.0
2003-10-01,546.0
2003-10-02,550.0
2003-10-03,583.0
2003-10-06,598.0
2003-10-07,584.0
2003-10-09,567.0
2003-10-10,568.0
2003-10-15,567.0
2003-10-16,588.0
2003-10-17,580.0
2003-10-21,570.0
2003-10-23,571.0
2003-10-27,570.0
2003-10-31,575.0
2003-11-03,575.0
2003-11-07,575.0
2003-11-10,575.0
2003-11-11,575.0
2003-11-14,580.0
2003-11-17,580.0
2003-11-20,574.0
2003-11-28,576.0
2003-12-01,575.0
2003-12-02,579.0
2003-12-03,568.0
2003-12-04,568.0
2003-12-05,559.0
2003-12-08,542.0
2003-12-09,546.0
2003-12-10,545.0
2003-12-11,548.0
2003-12-12,544.0
2003-12-15,547.0
2003-12-17,570.0
2003-12-19,550.0
