date,IMO
2020-07-06,96.5
2020-07-07,96.5
2020-07-08,93.34
2020-07-09,95.5
2020-07-10,93.47
2020-07-13,94.5
2020-07-14,93.5
2020-07-15,93.5
2020-07-16,93.0
2020-07-17,93.0
2020-07-20,93.0
2020-07-21,92.99
2020-07-22,92.99
2020-07-23,93.0
2020-07-24,91.15
2020-07-27,89.6
2020-07-28,89.01
2020-07-29,89.01
2020-08-03,89.01
2020-08-04,89.01
2020-08-05,89.0
2020-08-06,89.0
2020-08-07,89.0
2020-08-10,92.0
2020-08-11,89.0
2020-08-12,90.0
2020-08-13,90.0
2020-08-17,90.0
2020-08-18,89.0
2020-08-19,88.24
2020-08-24,89.0
2020-08-25,89.0
2020-08-26,89.55
2020-08-27,88.06
2020-08-28,91.0
2020-08-31,91.0
2020-09-01,91.5
2020-09-02,92.0
2020-09-03,90.5
2020-09-04,87.1
2020-09-07,90.41
2020-09-08,89.0
2020-09-09,88.24
2020-09-10,90.45
2020-09-11,88.0
2020-09-14,90.44
2020-09-15,89.99
2020-09-16,92.0
2020-09-17,90.99
2020-09-18,90.0
2020-09-21,90.05
2020-09-22,91.0
2020-09-23,90.0
2020-09-24,91.99
2020-09-25,90.0
2020-09-28,92.0
2020-09-29,90.0
2020-09-30,90.0
2020-10-01,91.99
2020-10-02,89.44
2020-10-05,89.4
2020-10-06,89.4
2020-10-07,89.42
2020-10-08,88.05
2020-10-09,90.0
2020-10-12,90.0
2020-10-13,89.0
2020-10-14,90.0
2020-10-15,90.0
2020-10-16,89.0
2020-10-19,89.0
2020-10-20,88.0
2020-10-21,88.0
2020-10-22,88.0
2020-10-23,89.5
2020-10-26,89.5
2020-10-27,90.5
2020-10-28,87.51
2020-11-02,87.51
2020-11-03,88.0
2020-11-04,88.0
2020-11-05,88.0
2020-11-09,91.0
2020-11-10,93.0
2020-11-11,92.98
2020-11-12,92.0
2020-11-13,90.8
2020-11-16,91.71
2020-11-17,90.5
2020-11-19,94.0
2020-11-20,95.0
2020-11-23,93.4
2020-11-24,95.0
2020-11-25,95.5
2020-11-26,95.0
2020-11-27,91.25
2020-11-30,94.89
2020-12-01,93.0
2020-12-02,93.0
2020-12-03,94.5
2020-12-04,92.25
2020-12-07,94.46
2020-12-08,94.02
2020-12-09,93.0
2020-12-10,93.01
2020-12-11,92.5
2020-12-14,92.5
2020-12-15,92.5
